Region,Dice (DSC) ↑,HD95 (mm) ↓,Mean Dice
Whole Tumor (WT),0.8878535,12.736045,0.87082547
Tumor Core (TC),0.87584996,6.8220735,0.87082547
Enhancing Tumor (ET),0.848773,5.205235,0.87082547
