sample_id,dice_wt,dice_tc,dice_et,false_positive_volume,false_negative_volume,boundary_error_voxels
0,0.8410282,0.94087243,0.94015306,8486,2384,4659
1,0.8196686,0.8256474,0.76720285,7314,45219,5905
2,0.94117516,0.9426019,0.9193152,2727,4382,2426
3,0.9054468,0.9324899,0.8949589,15718,5638,3115
4,0.91972345,0.9208131,0.8922737,4738,4103,3990
